S.No.,Name of Indian Agent,Name of Manufacturer,Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
1.,"M/s. OrbusNeich Medical
(India) Pvt. Ltd., Office No.
8, S.F. (208) Plot No. 16,
Rishabh Corporate Tower,
Community Centre,
Karkardooma, Delhi-
110092","M/s. OrbushNeich Medical
(Shenzhen) Co. Ltd., 1, Jinkui
Road, Fuitan Free Trade
Zone Shenzhen, 518038,
China","1. Sapphire™ NC/Coronary
Dilatation Catheter
2. Sapphire™II Rx/Coronary
Dilatation Catheter
3. Sapphire™/Coronary
Dilatation Catheter",31-1493-MD/2014-DC,,MD-1493,01.01.2015,30.11.2017,,
2.,"M/s. IOL Asia, 209,
Vardhman Parchi
Community Centre Plot No.
3, Sctor-8, Rohini Delhi -
110085","M/s. CIMA Technology Inc.,
3253-C Old Frankstown
Road, Pittsburg, PA 15239,
USA","1. Cimflex/Hydrophylic Acrylic
Intraocular Lens
2. BVIsc/Ophthalmic
Viscosurigcal DEVCIES (2%
Sodium Hyaluronate 3%
Chondroitin Sulfate","31-232-MD/2006-DC
(Re Reg.02)",,MD-232,02.01.2015,15.12.2017,,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA","1. Eagalre Eye® Platinum
Digital IVUS
Catheter/Catheter
2. Revolution® 45MHz
Rotational IVUS Imaging
Catheter/Catheter
3. Vision® PV 0.018 F/X
Intravascular Ultrasound
Imaging Catheter/Catheter
4. FlowWire® Doppler Guide
Wire/Guide Wire
5. ComboWire™ XT Pressure
and Flow Wire/Guide Wire
6. Prime Wire™ Prestige
Pressure Guide Wire/Guide
Wire
7. Prime Wire™ Prestige Plus
Pressure Guide Wire/Guide
Wire",31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
4.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Sorin Group Italia S.r.I.
having factory premises at
Via Crescentino sn, I-13040
Saluggia (VC) Italy","1. Mechanichal Heart Valve
2. Mechanical Heart Valve
3. Pericarbon More
Mitrale/Biological Heart Valve
4. Perceval S/Biolocal Heart
Valve
5. Carbomedics
Carboseal/Aorthovalvular
Prosthesis
6. Memo 3D/Annuloplasty
Device
7. Annuloplasty Device
8. Annuloplasty Device",31-1402-MD/2013-DC,,MD-1404,05.01.2015,15.12.2017,,
5.,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
HubTown, Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai-400069","M/s. Bard Peripheral Vascular
Inc., 1625 West 3rd Street,
Tempe, Arizona (AZ) 85281,
USA having factory premises
at M/s. C R Bard Inc., 289
Bay Road, Queensbury, NY
18204, USA","1. Valeo Vascular
Stent/Vascular Stent
2. Denali Filter System/Vena
Cava Filter","31-1308-MD/2013-DC
(End. 01)",,MD-1308,05.01.2015,30.09.2017,+91 22 6136 1111,Shivaji.Manapkar@crbard.com
6.,"M/s. Edwards Lifesciences
(India) Pvt. Ltd., Plot No.
70 A, 23, Ground Floor,
Rama Road Industrial
Area, New Delhi-110015","M/s. Edwards Lifesciences
LLC, One Edwards Way,
Irvine, CA 92614-5686 USA
Having Manufacturing
premises at
M/s. Edwards Lifesciences
AG, Parque Industiral Itabo,
Km. 18.5 CARR Sanchez,
Haina, San Cristobal,
Dominican Republic","1. VAMP (Venous/Arterial
Blood Management
Protection Kits)/Blood
Management System
2. VAMP System
Accessories/Blood
Management System",31-1464-MD/2014-DC,,MD-1464,07.01.2015,15.12.2017,+91-022-66935701 04,
7.,"M/s. ArthorCare India
Medical Device Pvt. Ltd.,
Office # 10, 4th Floor,
Global Foyer, Sector-43,
Golf Course Road Gurgaon
122002","M/s. ArthroCare Corporation,
7000 West William Cannon
Drive Austin, Texas 78735,
USA having manufacturing
premises at
M/s. ArthoCare Corporation,
502 Parkway Global Park, LA
Aurora Heredia, Costa Rica","1. Shoulder Anchor
2. Suture
3. Sutute Anchors (Titian Ti)
4. Suture Anchor (Spartan
PEEK Sutute Implant)
5. Spine Needles
6. Cannula",31-1526-MD/2014-DC,,MD-1526,07.01.2015,15.12.2017,"Smith & Nephew Healthcare Pvt. Ltd., B-501-509, Dynasty Business Park, J. B. Nagar, Andheri Kurla Road, Andheri (East), Mumbai - 400 059, India, Tel: +00 (91) 22 4005 5090 ",
8.,"M/s Becton Dickinson India
Pvl Ltd., No. 34, Assisi
Nagar, West Thottam,
Madhavaram Chennai-51","M/s. Becton Dickinson
Infusion
Therapy AB,
Gasebacksvagen 36, PO Box
631, 25106 Helsingborg,
Sweden having
manufacturing premises at
M/s. Becton Dickinson
Medical (S) Pte. Ltd., 30 Tuas
Avenue 2, Singapore 634961","1. BD Neoflan I.V.
Cannula/I.V. Cannula
2. BD Venflon Pro I.V.
Cannula/I.V. Cannula
3. BD Venflon Pro Safety
Needle/I.V. Cannula","31-975-MD /2011-DC
(Re-Reg. 01)",,MD-975,12.01.2015,30.11.2017,"REGIONAL OFFICE - SOUTH
BD
2nd Floor, West Wing
Corniche Al-Latheef
No.25, Cunningham Road
Bangalore, 560 052, Karnataka
India
Tel: 91-80-45354666
Fax: 91-80-41150587
E-mail: bd_india@bd.com",
9.,"M/s. Boston Scientific India
Pvt. Ltd., C-41, Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020.","M/s. Lake Region Medical
Limited, Butlersland, New
Ross, Co. Wexford, Ireland","1. Victory™ 14 Polymer Tip
Guidewire with Hydrophilic
Coating /Peripheral
Guidewire
2. Victory™ 18 Polymer Tip
Guidewire with Hydrophilic
Coating /Peripheral
Guidewire",31-1553-MD/2014-DC,,MD-1553,12.01.2015,15.12.2017,"Registered Address
C-40/41, Okhla Industrial Phase-II,
New Delhi- 110020, India

Phone Number- +91-11-40543601
",
10,"M/s. Carewell Medical
Systems, SCO No. 28, 2nd
Floor, Front Side, Cabin
No. 1 & 2 Sector 33D
Chandirgarh-160020
(India)","Mis. Wuxi Yushou Medical
Appliances Co. Ltd., No.2IS
Xigang Road, Dongbeitang
Town, Wuxi. City, Jiangsu
Province,. China","1. Disposal Syringes with
Hypodermic Needle-Sterilized
(Auto Disable Syringe)","31-538-MD/2008-DC Re
reg. 02 End. 01",,MD-538,12.01.2015,15.10.2017,"Sco 28, 2nd Floor, Sector 33-D, Sector 33-D, Chandigarh, 160047
Phone: 0172 260 5140
",
