S.No.,Name of Indian Agent,Name of Manufacturer,%$$%Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
1.,"M/s. OrbusNeich Medical
(India) Pvt. Ltd., Office No.
8, S.F. (208) Plot No. 16,
Rishabh Corporate Tower,
Community Centre,
Karkardooma, Delhi-
110092","M/s. OrbushNeich Medical
(Shenzhen) Co. Ltd., 1, Jinkui
Road, Fuitan Free Trade
Zone Shenzhen, 518038,
China",%$$%,31-1493-MD/2014-DC,,MD-1493,01.01.2015,30.11.2017,,
1.,"M/s. OrbusNeich Medical
(India) Pvt. Ltd., Office No.
8, S.F. (208) Plot No. 16,
Rishabh Corporate Tower,
Community Centre,
Karkardooma, Delhi-
110092","M/s. OrbushNeich Medical
(Shenzhen) Co. Ltd., 1, Jinkui
Road, Fuitan Free Trade
Zone Shenzhen, 518038,
China"," Sapphire™ NC/Coronary
Dilatation Catheter
",31-1493-MD/2014-DC,,MD-1493,01.01.2015,30.11.2017,,
1.,"M/s. OrbusNeich Medical
(India) Pvt. Ltd., Office No.
8, S.F. (208) Plot No. 16,
Rishabh Corporate Tower,
Community Centre,
Karkardooma, Delhi-
110092","M/s. OrbushNeich Medical
(Shenzhen) Co. Ltd., 1, Jinkui
Road, Fuitan Free Trade
Zone Shenzhen, 518038,
China"," Sapphire™II Rx/Coronary
Dilatation Catheter
",31-1493-MD/2014-DC,,MD-1493,01.01.2015,30.11.2017,,
1.,"M/s. OrbusNeich Medical
(India) Pvt. Ltd., Office No.
8, S.F. (208) Plot No. 16,
Rishabh Corporate Tower,
Community Centre,
Karkardooma, Delhi-
110092","M/s. OrbushNeich Medical
(Shenzhen) Co. Ltd., 1, Jinkui
Road, Fuitan Free Trade
Zone Shenzhen, 518038,
China"," Sapphire™/Coronary
Dilatation Catheter",31-1493-MD/2014-DC,,MD-1493,01.01.2015,30.11.2017,,
2.,"M/s. IOL Asia, 209,
Vardhman Parchi
Community Centre Plot No.
3, Sctor-8, Rohini Delhi -
110085","M/s. CIMA Technology Inc.,
3253-C Old Frankstown
Road, Pittsburg, PA 15239,
USA",%$$%,"31-232-MD/2006-DC
(Re Reg.02)",,MD-232,02.01.2015,15.12.2017,,
2.,"M/s. IOL Asia, 209,
Vardhman Parchi
Community Centre Plot No.
3, Sctor-8, Rohini Delhi -
110085","M/s. CIMA Technology Inc.,
3253-C Old Frankstown
Road, Pittsburg, PA 15239,
USA"," Cimflex/Hydrophylic Acrylic
Intraocular Lens
","31-232-MD/2006-DC
(Re Reg.02)",,MD-232,02.01.2015,15.12.2017,,
2.,"M/s. IOL Asia, 209,
Vardhman Parchi
Community Centre Plot No.
3, Sctor-8, Rohini Delhi -
110085","M/s. CIMA Technology Inc.,
3253-C Old Frankstown
Road, Pittsburg, PA 15239,
USA"," BVIsc/Ophthalmic
Viscosurigcal DEVCIES (","31-232-MD/2006-DC
(Re Reg.02)",,MD-232,02.01.2015,15.12.2017,,
2.,"M/s. IOL Asia, 209,
Vardhman Parchi
Community Centre Plot No.
3, Sctor-8, Rohini Delhi -
110085","M/s. CIMA Technology Inc.,
3253-C Old Frankstown
Road, Pittsburg, PA 15239,
USA","
Sodium Hyaluronate ","31-232-MD/2006-DC
(Re Reg.02)",,MD-232,02.01.2015,15.12.2017,,
2.,"M/s. IOL Asia, 209,
Vardhman Parchi
Community Centre Plot No.
3, Sctor-8, Rohini Delhi -
110085","M/s. CIMA Technology Inc.,
3253-C Old Frankstown
Road, Pittsburg, PA 15239,
USA","
Chondroitin Sulfate","31-232-MD/2006-DC
(Re Reg.02)",,MD-232,02.01.2015,15.12.2017,,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA",%$$%,31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA"," Eagalre Eye® Platinum
Digital IVUS
Catheter/Catheter
",31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA", Revolution® ,31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA","MHz
Rotational IVUS Imaging
Catheter/Catheter
",31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
3.,"M/s. Accrediated
Consultants Private
Limited., D-29, 1st Floor,
Acharya Niketan, Mayur
Vihar, Phase-I, Delhi-
110091","M/s. Veolcano Corporation,
2870 Kilgore Road, Rancho
Cordova, CA 95670, USA", Vision® PV 0.0,31-1396-MD/2013-DC,,MD-1396,05.01.2015,30.11.2017,,
